0166	872	संज्ञातंत्र सटीक	नीलकंठ	विश्वनाथ  दैवज्ञ	Paper	DN	11.8"x5.5"	9.1"x3.4"	15	45	21	--	Good	--	--
0167	638	संज्ञातंत्र षोडशयोगाध्याय व्याख्या	--	विश्वनाथ दैवज्ञ	Paper	DN	10.4"x4.6"	9"x3.7"	14	42	16	हरिशंकर त्रिपाठी  	Fair	shaka 1640, V.S. 1775	shaka 1640, V.S. 1775
0168	1470	संक्रान्तिफल	--	--	Paper	DN	9.4"x4"	7"x2.6"	12	32	6	--	Fair	--	--
0169	1475	सारसमुच्चय	सारंगपाणि	--	Paper	DN	8"x3.9"	6.2"x2.7"	10	32	5	--	Fair	--	--
0170	922	सर्वतोभद्रमण्डल	--	--	Paper	DN	9.9"x4.3"	7.7"x2.8"	10	34	10	विÀवनाथ	Good	V.S. 1850	V.S. 1850
0171	1137	षट्पञ्चाशिका	पृथुयशस्	--	Paper	DN	8.2"x3.9"	7.2"x2.7"	10	32	4	--	Fair	--	--
0172	1245	षट्पञ्चाशिका	पृथुयशस्	--	Paper	DN	8.4"x4"	6.5"x3"	11	28	3	--	Good	--	--
0173	196	षट्पञ्चाशिका सटीक 	पृथुयशस्	भट्टोत्पल	Paper	DN	9.5"x6"	7.3"x4"	11	25	5	--	Good	--	--
0174	863	शीघ्रबोध	काशीनाथ	--	Paper	DN	10.9"x5.2"	9"x3.5"	9	38	31	--	Good	--	--
0175	1244	शीघ्रबोध	काशीनाथ	--	Paper	DN	8.3"x4.1"	6.5"x2.5"	9	30	24	--	Good	--	--
0176	1158	शिवालिखित	--	--	Paper	DN	8.1"x4"	6.4"x3"	11	32	4	--	Good	--	--
