Accession Number	Subject	Title	Author	Scribe	Date of the work	Date of the Ms.	Place of the work	Place of the Ms.	Size	Extent	Language	Script	Remarks	Observations
SDPB0383	Dharmashastra	शान्तिकविधि				V.S. 1756			8.1"x4.7"	20	Sanskrit	Devanagari		
SDPB0384	Dharmashastra	जन्माष्टमीव्रत		दिनमणिशङ्कर		V.S. 1877			8.3"x4.3"	29	Sanskrit	Devanagari		In slip, scribe shown as author. Also Date of Ms shown as VS 1077 instead of 1877.
SDPB0385	Stotra	विष्णुसहस्रदिव्यनाम		भद्रशङ्कर					8.8"x4.8"	16	Sanskrit	Devanagari		
SDPB0386	Dharmashastra	नीलोद्वाहपद्धति		देवशङ्कर					8.8"x4"	18	Sanskrit	Devanagari		In slip, title wrongly written as नीलोदाहपद्धति.
SDPB0387	Purana Ritual	भौमपाठ							8.2"x4.8"	6	Sanskrit	Devanagari		
SDPB0388	Purana Ritual	शालिग्राममहिमा		कृपाराम दीक्षित					9.3"x5.3"	27	Sanskrit	Devanagari		
SDPB0389	Purana Ritual	अभयैकादशीव्रतोद्यापनविधि		शङ्कर पाध्या					8.2"x4.8"	11	Sanskrit	Devanagari		
SDPB0390	Vedic Ritual	महावारुणपूजा							8.8"x4.8"	1	Sanskrit	Devanagari		
SDPB0391	Purana Ritual	पौषीसफलैकादशीकथा							9.5"x5.3"	4	Sanskrit	Devanagari		
SDPB0392	Dharmashastra	महालयश्राद्ध							5.1"x9.1"	13	Sanskrit	Devanagari		
SDPB0393	Purana Ritual	भौमपूजा		आनन्द शिवराम		V.S. 1816			7.6"x4.5"	6	Sanskrit	Devanagari		
SDPB0394	Purana Ritual	त्वरितरुद्रविधि		गिरिजानन्द					9.1"x5.1"	2	Sanskrit	Devanagari		
SDPB0395	Purana Ritual	a. गोपूजाविधि, b. सङ्ग्रहणीरोगदानविधि		नीलकण्ठ दवे		V.S. 1727			8.5"x4.6"	4	Sanskrit	Devanagari		
SDPB0396	Purana Ritual	a. एकवस्त्रस्नानविधि, b. वस्त्रदानमन्त्र							9"x5"	4	Sanskrit	Devanagari		
SDPB0397	Jyotisha	नवग्रहन्यासविधि		विष्णुदेव द्विवेदी					8.1"x4.8"	11	Sanskrit	Devanagari		
SDPB0398	Purana Ritual	वैतरणीव्रतमाहात्म्य		शिवराम		V.S. 1777			8.2"x4.6"	5	Sanskrit	Devanagari		
SDPB0399	Dharmashastra	धात्रीपूजा							7.2"x3.7"	1	Sanskrit	Devanagari		
SDPB0400	Purana Ritual	गणेशाष्टक							6"x4.5"	3	Sanskrit	Devanagari		
SDPB0401	Purana Ritual	एकादशीव्रत				V.S. 1777			8"x4.5"	8	Sanskrit	Devanagari		
SDPB0402	Purana Ritual	दौर्भाग्यनाशनव्रत							10.1"x3.6"	4	Sanskrit	Devanagari		
SDPB0403	Purana Ritual	लक्षपूजाविधि		भगवान		V.S. 1760		भल्लपुर	7.5"x4.8"	8	Sanskrit	Devanagari		
SDPB0404	Stotra	रामरक्षास्तोत्र		कृष्ण दवे		V.S. 1723			9.8"x4.3"	5	Sanskrit	Devanagari		
SDPB0405	Vedic Ritual	पुण्याहवाचन		नीलकण्ठ					7.4"x4.4"	4	Sanskrit	Devanagari		
