९६१	712	गणेशसहस्रनाम	_	_	Paper	DN	"११"" x ४"""	"७.३"" x २.८"""	11	38	7	_	उत्तमस्तरीय:	संवत १७४२	Incomplete F.1 missing, Begins abruptly. Edges torn on both sides.	Stotras
९६२	1008	गणेशाष्टक	शंकराचार्य:	_	Paper	DN	"६.४"" x ३.८"""	"४.२"" x २.६"""	7	22	3	_	उत्तमस्तरीय:	_	Complete.	Stotras
९६३	1035	गणेशस्तोत्र (From :पद्मपुराण)	व्यास:	_	Paper	DN	"८.२"" x ३.८"""	"६.३"" x ३.२"""	11	32	2	_	उत्तमस्तरीय:	_	Complete.	Stotras
९६४	801	गणेशवरदसहस्रनामस्तोत्र	_	_	Paper	DN	"८.९"" x ४.१"""	"८.४"" x ३"""	11	38	9	_	उत्तमस्तरीय:	संवत १६३९	Complete.	Stotras
९६५	1302	गंगासहस्रनामस्तोत्र	गोसाई ध्यानगिरि:	_	Paper	DN	"६.५"" x ४.३"""	"४.८"" x २.७"""	8	15	31	गोसाई ध्यानगिरि:	उत्तमस्तरीय:	संवत १८४१	Incomplete F.1-3,8-10,27-30 missing, many folios are torn and the text damaged on 4,5,11&31. Begins abruptly.	Stotras
९६६	1303	गंगासहस्रनामस्तोत्र	_	_	Paper	DN	"६.५"" x ४.३"""	"५"" x २.७"""	8	16	29	_	उत्तमस्तरीय:	_	Incomplete F.4-7, 11-26 missing, ends abruptly.	Stotras
९६७	54	गंगासहस्र	_	_	Paper	DN	"११.५"" x ५"""	"९"" x ३.२"""	9	29	9	_	उत्तमस्तरीय:	_	Incomplete All the folios are torn at the top. Ends abruptly.	Stotras
९६८	1497	गंगासहस्र	_	_	Paper	DN	"११"" x ४.८"""	"९"" x ३.३"""	9	33	14	_	उत्तमस्तरीय:	_	Incomplete F.1-9 missing. Edges torn, margins are torn and the text is damaged on 10,11,13. Begins abruptly.	Stotras
९६९	1009	गंगाष्टकस्तोत्र	वाल्मीकि	_	Paper	DN	"११"" x ४.५"""	"८.६"" x ३"""	9	38	1	त्यागीराम:	उत्तमस्तरीय:	संवत १९१७	Complete.	Stotras
९७०	११२६ब	गायत्रीभुजंग	_	_	Paper	DN	"८.१"" x ४.२"""	"७.४"" x ३.४"""	16	42	1	_	उत्तमस्तरीय:	_	Complete.	Stotras
९७१	1314	गायत्रीदिव्यसहस्रनामामृतस्तोत्र	_	_	Paper	DN	"६"" x ४.२"""	"४.२"" x २.८"""	8	16	28	_	उत्तमस्तरीय:	_	Incomplete F.1-22 lost F.23,24 torn, the text is damaged, Begins abruptly.	Stotras
९७२	1021	गायत्रीहृदय	_	_	Paper	DN	"८"" x ३.९"""	"६.४"" x २.८"""	10	24	3	_	उत्तमस्तरीय:	_	Incomplete, All the folios are moth-eaten and the text is slightly damaged Ends abruptly.	Stotras
९७३	1312	गायत्रीहृदय	_	_	Paper	DN	"७"" x ३.९"""	"५.२"" x २.७"""	11	24	2	_	उत्तमस्तरीय:	_	Incomplete.Ends abruptly.	Stotras
९७४	907	गायत्रीकवच	_	_	Paper	DN	"७"" x ४"""	"५.२"" x २.६"""	11	26	2	_	उत्तमस्तरीय:	_	Complete.	Stotras
९७५	701	गायत्रीनिर्णय	_	_	Paper	DN	"६.३"" x ३.८"""	"४.७"" x २.५"""	8	20	3	_	उत्तमस्तरीय:	_	Complete.	Stotras
९७६	१०२३बी	गायत्रीसहस्रनाम + गायत्रीस्तोत्र	_	_	Paper	DN	"६.६"" x ४.८"""	"५"" x ३.८"""	10	18	24	_	उत्तमस्तरीय:	_	Complete.	Stotras
९७७	834	गायत्रीसहस्रनाम	_	_	Paper	DN	"६"" x ४.१"""	"४.४"" x २.८"""	8	15	22	_	उत्तमस्तरीय:	_	Incomplete, Ends abruptly.	Stotras
९७८	264	गायत्रीस्तवराज	_	_	Paper	DN	"१०.७"" x ५.२"""	"८.५"" x ३"""	10	33	4	_	उत्तमस्तरीय:	_	Complete.	Stotras
९७९	360	गायत्रीस्तवराजस्तोत्र	_	_	Paper	DN	"७.९"" x ३.६"""	"६.३"" x २.४"""	6	27	8	_	उत्तमस्तरीय:	_	Complete.	Stotras
९८०	1022	गायत्रीस्तवराजस्तोत्र + गायत्रीशापविमोचन	विश्वामित्र:	_	Paper	DN	"६.६"" x ४.५"""	"५"" x ३.२"""	9	18	8	_	उत्तमस्तरीय:	_	Complete.	Stotras
९८१	१०२३ अ	गायत्रीस्तवराजस्तोत्र	विश्वामित्र:	_	Paper	DN	"६.६"" x ४.८"""	"५"" x ४"""	11	18	7	_	उत्तमस्तरीय:	_	Incomplete. F.1-3 missing, Begins abruptly.	Stotras
९८२	1020	गायत्रीस्तोत्र	_	_	Paper	DN	"६.६"" x ४.६"""	"५"" x ३.५"""	12	21	2	_	उत्तमस्तरीय:	_	Incomplete Fairly old. Ends abruptly. The folios are moth-eaten and the text is damaged. The ink is lost on some lines only	Stotras
९८३	1315	गोपालध्यान	_	_	Paper	DN	"८"" x ४"""	"६.३"" x २.५"""	8	28	4	_	उत्तमस्तरीय:	_	Incomplete. F.1-2 missing, Begins abruptly	Stotras
९८४	900	गोसावित्रीस्तोत्र	_	_	Paper	DN	"६.८"" x ४.६"""	"५.२"" x २.८"""	9	16	12	_	उत्तमस्तरीय:	_	Complete.	Stotras
९८५	1026	गोविन्ददामोदरस्तोत्र	बिल्वमंगल:	_	Paper	DN	"३.५"" x ६.३"""	"३.२"" x ५"""	14	14	7	_	उत्तमस्तरीय:	_	Complete.	Stotras
९८६	1027	गोविन्दाष्टक	शंकर:	_	Paper	DN	"८.३"" x ४"""	"६.८"" x २.८"""	10	32	1	_	उत्तमस्तरीय:	_	Complete. The folio is moth-eaten and the text is damaged.	Stotras
९८७	1036	हंसमंत्र	_	_	Paper	DN	"१०.६"" x ५"""	"६.२"" x ३"""	9	38	3	_	सामान्यस्तरीय:	_	Complete F.1-2 torn and the text is seriously damaged.	Stotras
९८८	1039	हनुमानाष्टक	_	_	Paper	DN	"६"" x ४.२"""	"४"" x २.७"""	7	16	4	_	उत्तमस्तरीय:	संवत १७८७	Complete.	Stotras
९८९	889	हनुमत् कवच	_	_	Paper	DN	"७.६"" x ४.२"""	"६"" x २.८"""	10	28	7	अम्बाराम: पंड्या	माध्यमस्तरीय:	शक १६७२	Complete. The text is almost unreadable.	Stotras
९९०	1037	हनुमत् कवच	_	_	Paper	DN	"६.५"" x ४.५"""	"४.८"" x ३"""	10	18	6	_	उत्तमस्तरीय:	_	Incomplete F.3-5 missing.	Stotras
९९१	1038	हनुमत्-रक्षाकवच 	_	_	Paper	DN	"४.२"" x ९.३"""	"३.१"" x ८.६"""	28	13	2	_	उत्तमस्तरीय:	_	Complete. An old Gujarati Bhajan an 2b	Stotras
९९२	695	हनुमत्स्तोत्र	_	_	Paper	DN	"७.६"" x ४.५"""	"६"" x ३.३"""	9	20	36	_	_	संवत १७३०	Complete.	Stotras
९९३	1040	हनुमत्स्तोत्र	विभीषण:	_	Paper	DN	"९.५"" x ४"""	"८"" x २.७"""	10	28	2	_	उत्तमस्तरीय:	_	Complete. Edges torn.	Stotras
९९४	1429	हरिहरस्तोत्र	_	_	Paper	DN	"९.४"" x ४.२"""	"८.१"" x २.९"""	11	42	12	_	उत्तमस्तरीय:	_	Complete.	Stotras
९९५	333	हरिहरात्मकस्तव	_	_	Paper	DN	"६"" x ४"""	"४.५"" x ३.२"""	11	18	10	_	उत्तमस्तरीय:	_	Complete. Edges torn.	Stotras
९९६	1041	हरिस्तोत्र	शंकराचार्य:	_	Paper	DN	"१०"" x ४.५"""	"६.१ x २.७"""	8	30	2	_	उत्तमस्तरीय:	संवत १७६०	Complete. The folios are slightly motheaten.	Stotras
९९७	775	हस्तामलकस्तोत्रटीका	_	_	Paper	DN	"८.४"" x ४"""	"६.४"" x २.८"""	12	38	7	_	उत्तमस्तरीय:	_	Complete.	Stotras
९९८	1323	ईश्वरीविद्याकवच 	_	_	Paper	DN	"८.२"" x ३.१"""	"६.६"" x २.१"""	8	30	4	_	उत्तमस्तरीय:	_	Incomplete. Ends abruptly.	Stotras
९९९	808	ज्वरस्तोत्र	_	_	Paper	DN	"८.३"" x ३.९"""	"६.२"" x २.८"""	11	30	4	_	उत्तमस्तरीय:	_	Complete.	Stotras
१०००	1053	कालीअष्टोत्तरशतनाम + महाकालकवच + महाकालमंत्रो·;र	_	_	Paper	DN	"८.१"" x ३"""	"७"" x २"""	8	38	6	_	उत्तमस्तरीय:	_	Complete The lower margin is torn, folios and the text is slightly affected.	Stotras
१००१	1059	कालिकाकवच	_	_	Paper	DN	"६.५"" x ४.८"""	"५"" x ३.५"""	10	20	4	_	उत्तमस्तरीय:	_	Complete.	Stotras
१००२	284	करावलम्बन - अपराधहरस्तोत्र	शंकराचार्य:	_	Paper	DN	"७.२"" x ३.९"""	"५.५"" x २.७"""	6	22	4	_	उत्तमस्तरीय:	_	Complete.	Stotras
१००३	1057	कार्तवीर्यद्वादशनाम + कार्तवीर्यार्जुनकवच	_	_	Paper	DN	"७.५"" x ४.१"""	"६.५"" x २.४"""	11	31	12	_	अनुचित	_	Complete. The folios are slightly eaten and the right margin is torn on all folios damaging the text.	Stotras
१००४	1061	कार्तवीर्यार्जुनकवच	_	_	Paper	DN	"८.५"" x ३.९"""	"६.८"" x २.५"""	8	25	12	_	उत्तमस्तरीय:	_	Complete.	Stotras
१००५	589	कार्तवीर्यार्जुनमंत्र	_	_	Paper	DN	"८.३"" x ४.२"""	"६.३"" x २.२"""	8	30	3	_	उत्तमस्तरीय:	_	Complete.	Stotras
१००६	1056	कार्तवीर्यार्जुनस्तोत्र 	_	_	Paper	DN	"५.८"" x ४.२"""	"४.३"" x २.६"""	11	18	2	_	उत्तमस्तरीय:	_	Complete.	Stotras
१००७	१३३७ अ	कार्तवीर्यार्जुनस्तोत्र + प्रज्ञावर्धनस्तोत्र	_	_	Paper	DN	"५.९"" x ४"""	"४.६"" x ३.२"""	11	18	2	_	उत्तमस्तरीय:	_	Complete.	Stotras
१००८	1064	क्रीडालवस्त्तोत्र	भैरव:	_	Paper	DN	"८.५"" x ३.१"""	"७.२"" x २.२"""	9	32	1	_	उत्तमस्तरीय:	_	Complete.	Stotras
१००९	277	कृष्णकवच	_	_	Paper	DN	"६.३"" x ३.४"""	"५"" x २.४"""	7	18	3	_	उत्तमस्तरीय:	_	Complete.	Stotras
१०१०	1351	लघुस्तवराज	_	_	Paper	DN	"६.१"" x ४.२"""	"४.१"" x २.६"""	6	13	12	_	उत्तमस्तरीय:	_	Incomplete. Ends abruptly.	Stotras
१०११	1352	लक्ष्मीनृसिंहसहस्रनाम	_	_	Paper	DN	"६"" x ४.१"""	"३.९"" x २.२"""	9	18	4	_	उत्तमस्तरीय:	_	Incomplete. Ends abruptly.	Stotras
१०१२	1385	लक्ष्मीनृसिंहसहस्रनामस्तोत्र	_	_	Paper	DN	"९"" x ४"""	"७.२"" x २.६"""	9	35	16	_	उत्तमस्तरीय:	_	Incomplete. F.1. missing. Begins abruptly.	Stotras
१०१३	२४२ ब	लक्ष्मीनृसिंहस्तोत्र	शंकराचार्य:	_	Paper	DN	"९.२"" x ५.७"""	"७"" x ५"""	13	27	2	_	उत्तमस्तरीय:	_	Complete.	Stotras
१०१४	1354	लक्ष्मीसहस्रनाम	_	_	Paper	DN	"५.८"" x ४"""	"३.९"" x २.६"""	12	20	12	_	उत्तमस्तरीय:	_	Incomplete. F.1.-8 missing. All folios moth-eaten Begins, Ends abruptly.	Stotras
१०१५	1353	लक्ष्मीसहस्रनामस्तोत्र	_	_	Paper	DN	"५.९"" x ४.१"""	"४"" x २.६"""	11	20	6	_	उत्तमस्तरीय:	_	Incomplete F.3-4 missing. Ends abruptly.	Stotras
१०१६	1071	(अ) लक्ष्मीव्यंकटेशमंत्र +  (ब) तुलसीमंत्र	_	_	Paper	DN	"५.५"" x ४.२"""	"४.४"" x ३.३"""	9	14	2	_	मध्यमस्तरीय:	_	(a) Complete. (b) Incomplete Both the folios are torn and the text is damaged.	Stotras
१०१७	1359	महा-आदित्यहृदयस्तोत्र	_	_	Paper	DN	"८"" x ४.४"""	"६.२"" x २.७"""	8	25	14	_	उत्तमस्तरीय:	_	Incomplete. Begins abruptly.	Stotras
१०१८	1360	महागणपतिमंत्र	_	_	Paper	DN	"७.९"" x ३.९"""	"६.२"" x २"""	6	25	2	_	उत्तमस्तरीय:	_	Incomplete. Ends abruptly.	Stotras
१०१९	1014	महागणपतिस्तव	_	_	Paper	DN	"५.५"" x ३.७"""	"४"" x २.६"""	9	16	3	_	उत्तमस्तरीय:	_	Complete. The folios are moth eaten and the text is damaged.	Stotras
१०२०	233	महालक्ष्मीहृदयस्तोत्र	_	_	Paper	DN	"५.२"" x ३.२"""	"३.८"" x २.२"""	9	20	14	_	उत्तमस्तरीय:	_	Complete.	Stotras
१०२१	1362	महालक्ष्मीकल्प	शंकर:	_	Paper	DN	"८.३"" x ३.५"""	"७.१"" x २.४"""	8	26	18	_	उत्तमस्तरीय:	_	Incomplete. F.1-3,5-10,16-17 missing Begins abrutply. Edges torn the text is damaged.	Stotras
१०२२	1535	महात्रिपुरासुन्दरीमंत्र	_	_	Paper	DN	"८.२"" x ४"""	"७.५"" x ३.५"""	8	21	11	_	उत्तमस्तरीय:	_	Incomplete. Begins, Ends abruptly Edges torn F.1-9 missing.	Stotras
